"user_id","sex","age","country"
765821,"M",20,"Mexico"
343561,"F",27,"Nicaragua"
118744,"M",23,"Colombia"
987753,"F",27,"Venezuela"
554597,"F",20,"Spain"
62371,"M",29,"Ecuador"
987967,"M",31,"Spain"
499510,"F",29,"Paraguay"
364726,"F",29,"Colombia"
572551,"M",21,"Bolivia"
224416,"F",49,"Spain"
601332,"M",29,"Argentina"
518243,"M",24,"Spain"
585161,"M",20,"Peru"
638738,"F",22,"Venezuela"
751480,"F",18,"Mexico"
281279,"M",37,"Ecuador"
692649,"M",18,"Mexico"
966822,"F",25,"Peru"
270794,"M",26,"Spain"
639268,"F",28,"Peru"
179283,"M",54,"Chile"
927417,"M",19,"Guatemala"
172547,"M",49,"Spain"
911946,"F",33,"Costa Rica"
817092,"M",24,"Argentina"
492780,"M",21,"Chile"
227537,"M",21,"Colombia"
83980,"F",18,"Mexico"
375992,"F",19,"Spain"
597861,"F",20,"Colombia"
21104,"M",19,"Colombia"
544510,"M",27,"Spain"
373162,"M",36,"Bolivia"
938872,"F",20,"Mexico"
815046,"F",26,"Colombia"
262037,"F",38,"Honduras"
230081,"F",26,"Ecuador"
686178,"F",23,"Honduras"
834211,"F",28,"Colombia"
883897,"F",21,"Venezuela"
966353,"M",22,"Spain"
17414,"F",23,"Peru"
402612,"M",22,"Mexico"
826979,"M",25,"Venezuela"
219733,"M",23,"Mexico"
960526,"M",18,"Colombia"
799229,"M",19,"Argentina"
666512,"M",24,"Venezuela"
527813,"F",25,"Mexico"
193976,"M",23,"El Salvador"
776747,"M",31,"Peru"
766558,"F",36,"Venezuela"
889879,"M",18,"Mexico"
233767,"M",26,"Ecuador"
162546,"F",24,"Argentina"
691807,"M",34,"Mexico"
898704,"F",33,"Mexico"
936308,"M",18,"Spain"
673146,"M",22,"Mexico"
197025,"M",28,"Mexico"
620411,"M",19,"Mexico"
804030,"M",24,"Venezuela"
348189,"M",34,"Mexico"
237447,"M",28,"Mexico"
772284,"F",24,"Argentina"
36298,"F",35,"Mexico"
60968,"F",26,"Spain"
655893,"M",24,"Guatemala"
928133,"M",36,"Nicaragua"
919477,"M",20,"Argentina"
904711,"M",27,"Mexico"
441067,"F",34,"Panama"
291223,"F",32,"Argentina"
286450,"M",18,"Venezuela"
851605,"M",23,"Mexico"
30499,"F",35,"Nicaragua"
633103,"M",31,"Argentina"
17481,"M",26,"Guatemala"
304722,"M",33,"Mexico"
297856,"F",37,"Spain"
338691,"F",39,"Mexico"
166590,"M",29,"Spain"
457190,"F",41,"Mexico"
201885,"F",28,"Uruguay"
212556,"F",26,"Mexico"
947988,"M",20,"Argentina"
172275,"M",23,"Mexico"
580372,"M",42,"Peru"
887252,"F",48,"Chile"
237536,"M",37,"Peru"
59512,"M",28,"Argentina"
431255,"F",29,"Venezuela"
667081,"M",22,"Colombia"
644512,"F",18,"El Salvador"
648372,"M",38,"Chile"
286976,"F",21,"Argentina"
311768,"M",22,"Argentina"
50292,"M",30,"Chile"
769929,"F",41,"Argentina"
498099,"F",39,"Mexico"
309696,"F",28,"Colombia"
480788,"F",35,"Peru"
645866,"F",20,"Spain"
34904,"M",22,"Spain"
820402,"F",28,"Colombia"
542815,"F",19,"Argentina"
609490,"M",26,"Peru"
508107,"M",26,"Argentina"
837852,"M",36,"Spain"
798405,"F",26,"Venezuela"
95960,"F",19,"Spain"
617930,"M",31,"Peru"
641838,"F",24,"Mexico"
275915,"M",23,"Colombia"
914362,"F",29,"Mexico"
171342,"F",40,"Guatemala"
166232,"F",22,"Colombia"
507307,"M",21,"Guatemala"
441897,"F",31,"Argentina"
189049,"F",28,"Mexico"
567053,"M",28,"Mexico"
743220,"M",21,"Mexico"
119152,"M",19,"Chile"
675355,"F",18,"Mexico"
613668,"M",27,"Peru"
507748,"M",24,"Argentina"
768060,"F",35,"Guatemala"
682827,"M",21,"Mexico"
599658,"M",25,"Colombia"
933068,"M",22,"Costa Rica"
111519,"F",18,"Mexico"
912425,"F",30,"Peru"
765380,"M",31,"Mexico"
233959,"M",47,"Mexico"
18588,"M",18,"Bolivia"
112649,"F",29,"Mexico"
56008,"F",18,"Chile"
220303,"F",18,"Argentina"
246097,"M",24,"Honduras"
28679,"F",26,"Honduras"
672208,"F",24,"Colombia"
124592,"M",24,"Mexico"
121705,"M",18,"Mexico"
337620,"M",24,"Peru"
747133,"M",24,"Colombia"
945847,"M",20,"Mexico"
782339,"M",36,"Colombia"
238344,"F",19,"Mexico"
272086,"F",19,"Argentina"
254889,"M",28,"Panama"
102930,"M",36,"Venezuela"
615089,"F",30,"Peru"
602968,"M",35,"Ecuador"
788179,"F",28,"Spain"
311554,"M",23,"Ecuador"
507536,"F",27,"Peru"
510824,"F",27,"Spain"
553996,"M",27,"Argentina"
62082,"M",18,"Spain"
188873,"F",20,"Paraguay"
213391,"F",19,"Venezuela"
961047,"F",18,"Spain"
204799,"F",19,"Spain"
685308,"F",26,"Mexico"
222413,"M",23,"Mexico"
199272,"M",30,"Peru"
870202,"M",24,"Mexico"
151799,"M",32,"Spain"
870039,"F",21,"Mexico"
222051,"F",21,"Spain"
157513,"M",22,"Peru"
155636,"F",18,"Argentina"
301806,"M",24,"Ecuador"
436243,"M",31,"Mexico"
6773,"M",23,"Peru"
895077,"F",33,"Mexico"
516635,"M",29,"Mexico"
328799,"F",34,"Mexico"
943603,"M",19,"Mexico"
757269,"M",25,"Mexico"
520492,"F",24,"Mexico"
713528,"F",25,"Spain"
879770,"M",45,"Venezuela"
503607,"M",30,"Argentina"
228540,"M",19,"El Salvador"
519747,"F",20,"Mexico"
742658,"F",20,"Mexico"
693727,"M",28,"Colombia"
611109,"F",33,"Argentina"
467832,"M",24,"Peru"
214094,"M",32,"Spain"
574648,"F",31,"Guatemala"
153652,"M",20,"Spain"
952093,"F",24,"Bolivia"
680523,"M",34,"Mexico"
739225,"F",23,"Peru"
927381,"M",18,"Mexico"
96403,"M",18,"Colombia"
269182,"F",25,"Peru"
365937,"M",28,"Mexico"
255157,"M",29,"Uruguay"
771630,"M",29,"Mexico"
702625,"F",27,"Spain"
542810,"F",21,"Colombia"
795209,"M",38,"Chile"
878168,"M",23,"Mexico"
855940,"M",28,"Colombia"
347682,"F",19,"Argentina"
744608,"M",27,"Guatemala"
129506,"M",22,"Peru"
513829,"M",38,"Honduras"
348560,"F",21,"Mexico"
490913,"F",18,"Mexico"
946865,"M",32,"Mexico"
94451,"M",18,"Nicaragua"
955340,"F",31,"Spain"
247858,"F",18,"Costa Rica"
505814,"M",28,"Colombia"
277681,"M",30,"Argentina"
256402,"M",26,"Mexico"
130219,"M",22,"Peru"
519091,"M",20,"Mexico"
155132,"M",20,"Peru"
483351,"F",25,"Mexico"
13257,"M",27,"Peru"
882071,"M",31,"Costa Rica"
429836,"F",19,"Ecuador"
529217,"M",19,"Colombia"
727625,"F",41,"Mexico"
51531,"F",43,"Mexico"
625357,"M",37,"Chile"
550708,"F",37,"El Salvador"
212295,"F",28,"Venezuela"
728152,"F",21,"Mexico"
594753,"F",19,"Mexico"
788420,"F",27,"Nicaragua"
996857,"F",32,"Mexico"
570571,"M",37,"Guatemala"
98669,"F",20,"Mexico"
822970,"F",27,"Chile"
863290,"F",20,"Peru"
125466,"F",25,"Chile"
828081,"M",20,"Mexico"
906940,"F",18,"Argentina"
444968,"M",24,"Mexico"
26453,"F",25,"Argentina"
839809,"M",31,"Chile"
757088,"F",27,"Mexico"
73239,"F",33,"Colombia"
881753,"M",38,"Mexico"
487469,"M",19,"Mexico"
950724,"M",20,"Mexico"
331035,"M",25,"Mexico"
785674,"F",40,"Mexico"
384727,"M",23,"Spain"
18016,"F",27,"Argentina"
292160,"M",18,"Mexico"
377486,"F",30,"Venezuela"
919472,"F",21,"Mexico"
982251,"F",22,"El Salvador"
565926,"F",18,"Argentina"
675927,"M",36,"Spain"
571412,"M",30,"Argentina"
331823,"M",30,"Spain"
898102,"M",29,"Argentina"
920517,"F",34,"Paraguay"
641046,"M",29,"Colombia"
843959,"F",34,"Mexico"
642205,"F",24,"Panama"
523840,"F",30,"Uruguay"
863204,"M",30,"Argentina"
423130,"M",21,"Spain"
49141,"F",33,"Mexico"
538791,"M",18,"Bolivia"
304625,"M",41,"Ecuador"
826946,"F",21,"Spain"
802195,"M",24,"Peru"
956022,"M",22,"Venezuela"
248717,"F",27,"Spain"
914213,"F",28,"Costa Rica"
451554,"M",33,"Colombia"
932009,"F",26,"El Salvador"
140579,"M",23,"Venezuela"
732130,"M",31,"Ecuador"
737639,"F",24,"Peru"
886108,"M",22,"Mexico"
649116,"M",38,"Venezuela"
613829,"F",34,"Mexico"
204780,"M",31,"El Salvador"
545538,"M",26,"Colombia"
887057,"M",29,"Honduras"
409450,"M",32,"Mexico"
258108,"M",29,"Mexico"
836276,"M",20,"El Salvador"
18083,"F",31,"Peru"
922154,"F",18,"Peru"
609416,"M",32,"Mexico"
171282,"F",27,"Mexico"
306398,"F",24,"Uruguay"
589541,"M",22,"Mexico"
800032,"F",40,"Nicaragua"
362653,"M",23,"Spain"
810954,"F",28,"Guatemala"
254379,"M",40,"Mexico"
737096,"M",34,"El Salvador"
558896,"F",39,"Argentina"
433678,"M",25,"Venezuela"
549565,"M",26,"Bolivia"
75208,"M",32,"Spain"
659690,"M",48,"Guatemala"
767570,"M",32,"Spain"
290504,"M",30,"Chile"
402422,"F",18,"Argentina"
555954,"F",22,"Mexico"
879042,"F",26,"Spain"
869964,"F",46,"Spain"
421647,"M",19,"Colombia"
890677,"F",18,"Mexico"
822971,"M",37,"Colombia"
827769,"F",23,"Colombia"
803386,"M",22,"Mexico"
623251,"M",43,"Mexico"
44538,"F",24,"Spain"
903728,"F",26,"Mexico"
15524,"F",22,"Ecuador"
526419,"M",30,"Spain"
406885,"M",27,"Paraguay"
777225,"M",25,"Venezuela"
311339,"M",21,"Colombia"
747731,"M",22,"Spain"
47152,"F",23,"Spain"
258836,"M",24,"Venezuela"
185247,"M",28,"Mexico"
137300,"F",34,"Mexico"
776775,"M",30,"Argentina"
382978,"M",23,"Panama"
47149,"F",27,"Argentina"
868617,"M",31,"Argentina"
361339,"F",19,"Spain"
544814,"F",24,"Mexico"
298507,"M",29,"Argentina"
406662,"M",26,"Colombia"
738075,"F",27,"Mexico"
587320,"M",28,"Chile"
920963,"M",32,"Mexico"
988713,"M",27,"Mexico"
307117,"M",33,"Peru"
339104,"F",28,"Argentina"
544858,"M",27,"Argentina"
96085,"M",23,"Ecuador"
913211,"F",19,"Chile"
278848,"F",23,"Mexico"
599773,"F",25,"Mexico"
704739,"M",30,"Guatemala"
785702,"M",20,"Spain"
969611,"M",21,"Venezuela"
771636,"M",31,"Mexico"
133352,"M",40,"Spain"
553452,"F",38,"Colombia"
601959,"M",25,"Spain"
625168,"M",24,"Mexico"
797916,"M",27,"Mexico"
330268,"F",23,"Mexico"
40977,"M",34,"Mexico"
312150,"M",20,"Spain"
168649,"F",47,"Mexico"
405852,"M",36,"Spain"
496052,"M",18,"Mexico"
426670,"M",31,"Colombia"
809522,"M",38,"Spain"
764273,"M",20,"Spain"
922731,"M",20,"Guatemala"
283488,"M",22,"Peru"
42075,"F",21,"Colombia"
462583,"F",24,"Mexico"
337641,"M",29,"Uruguay"
289317,"M",19,"Honduras"
365985,"F",29,"Venezuela"
350534,"M",21,"Colombia"
934186,"F",20,"Mexico"
739383,"M",41,"Mexico"
838710,"M",32,"Bolivia"
918245,"F",33,"Mexico"
591425,"M",22,"Mexico"
173114,"M",29,"Guatemala"
849838,"M",44,"Mexico"
904238,"F",24,"Peru"
784153,"M",22,"Colombia"
415595,"M",32,"Chile"
379228,"M",21,"Colombia"
350552,"M",18,"Spain"
626799,"M",27,"Mexico"
709178,"M",43,"Colombia"
46912,"M",20,"Mexico"
776618,"M",19,"Chile"
264629,"M",24,"Colombia"
313491,"M",41,"Colombia"
41630,"M",21,"Venezuela"
725834,"M",31,"El Salvador"
926390,"M",19,"Peru"
166018,"M",25,"Peru"
380035,"M",18,"Panama"
158958,"F",23,"Chile"
895371,"M",24,"Colombia"
721506,"F",31,"Peru"
392816,"F",27,"Venezuela"
250055,"M",23,"Mexico"
544122,"M",25,"Mexico"
19477,"F",38,"Venezuela"
517299,"M",25,"Chile"
795960,"M",33,"Mexico"
540520,"M",29,"Ecuador"
968886,"M",27,"Spain"
521707,"F",45,"Argentina"
757027,"F",22,"Peru"
827956,"M",25,"Spain"
375624,"M",35,"El Salvador"
292169,"F",36,"El Salvador"
275884,"F",20,"Guatemala"
652554,"M",21,"Argentina"
439649,"F",26,"Chile"
704347,"F",24,"Venezuela"
335042,"M",22,"Argentina"
60990,"F",29,"Spain"
690678,"F",32,"Honduras"
871672,"F",19,"Paraguay"
601676,"M",25,"Spain"
831708,"F",18,"Mexico"
429650,"M",22,"Chile"
853202,"M",19,"Nicaragua"
501489,"M",25,"Spain"
511919,"M",21,"Spain"
430563,"M",35,"Colombia"
626889,"F",29,"Nicaragua"
335346,"M",18,"Nicaragua"
742677,"F",35,"Mexico"
575460,"M",21,"Mexico"
970903,"F",25,"Chile"
802640,"M",48,"Venezuela"
43509,"M",31,"Spain"
769511,"M",27,"Colombia"
776592,"F",37,"Chile"
514366,"F",19,"Argentina"
82200,"M",38,"Spain"
132459,"F",25,"Colombia"
545024,"M",21,"Argentina"
190937,"F",26,"Colombia"
275231,"M",19,"Argentina"
299689,"F",20,"Nicaragua"
754361,"F",27,"Colombia"
710273,"M",30,"Mexico"
873268,"M",19,"Venezuela"
279593,"M",19,"Spain"
484879,"M",29,"Chile"
566797,"M",37,"Argentina"
168551,"M",38,"Mexico"
321684,"M",28,"Ecuador"
569564,"F",33,"Ecuador"
73433,"F",33,"Colombia"
116113,"M",26,"Spain"
818387,"F",54,"Mexico"
196311,"M",30,"Mexico"
964024,"M",37,"Mexico"
182219,"F",21,"Spain"
678805,"M",21,"Venezuela"
860835,"F",23,"Costa Rica"
123659,"M",22,"Peru"
